date,lme_cash_usd_per_tonne,lme_cash_usd_per_lb
2022-04-12,10201.0,4.627101269152961
2022-04-13,10290.5,4.66769783454745
2022-04-14,10277.0,4.66157433027007
2022-04-19,10381.0,4.708747992851376
2022-04-20,10215.0,4.63345156988506
2022-04-21,10268.0,4.657491994085149
2022-04-22,10230.5,4.6404822599813125
2022-04-25,9919.0,4.499188068692111
2022-04-26,9912.5,4.496239714780779
2022-04-27,9910.0,4.49510573250719
2022-04-28,9812.0,4.450653627382497
2022-04-29,9820.5,4.4545091671126995
2022-05-03,9511.0,4.314122161642369
2022-05-04,9474.0,4.297339223993251
2022-05-05,9541.0,4.327729948925438
2022-05-06,9428.0,4.276473950159211
2022-05-09,9160.0,4.15491105043046
2022-05-10,9350.0,4.241093703223231
2022-05-11,9367.0,4.248804782683638
2022-05-12,9018.5,4.090727653745317
2022-05-13,9064.0,4.111366131124639
2022-05-16,9270.0,4.204806270468381
2022-05-17,9396.0,4.261958977057271
2022-05-18,9264.5,4.202311509466484
2022-05-19,9287.0,4.2125173499287865
2022-05-20,9477.0,4.298700002721557
2022-05-23,9500.5,4.309359436093295
2022-05-24,9460.5,4.291215719715869
2022-05-25,9287.0,4.2125173499287865
2022-05-26,9359.0,4.245176039408152
2022-05-27,9383.0,4.256062269234608
2022-05-30,9520.5,4.318431294282008
2022-05-31,9500.5,4.309359436093295
2022-06-01,9455.0,4.288720958713974
2022-06-06,9712.0,4.405294336438933
2022-06-07,9612.0,4.359935045495369
2022-06-08,9692.0,4.396222478250221
2022-06-09,9630.0,4.368099717865211
2022-06-10,9537.0,4.325915577287696
2022-06-13,9290.0,4.213878128657093
2022-06-14,9263.0,4.201631120102331
2022-06-15,9257.0,4.198909562645717
2022-06-16,9105.0,4.129963440411499
2022-06-17,9101.0,4.128149068773757
2022-06-20,8875.0,4.025637071241302
2022-06-21,9000.0,4.082336184920758
2022-06-22,8729.0,3.9594125064636994
2022-06-23,8578.0,3.8909199771389176
2022-06-24,8280.5,3.7559760865818146
2022-06-27,8353.0,3.7888615725158985
2022-06-28,8502.0,3.856446916021809
2022-06-29,8446.0,3.8310457130934132
2022-06-30,8245.0,3.7398735382968495
2022-07-01,7975.5,3.6176302492039447
2022-07-04,8036.0,3.6450726202248007
2022-07-05,7807.0,3.5411998439640393
2022-07-06,7525.5,3.4135134399579066
2022-07-07,7835.0,3.553900445428237
2022-07-08,7790.0,3.5334887645036335
2022-07-11,7623.0,3.4577387486278814
2022-07-12,7370.5,3.3432065389953824
2022-07-13,7267.0,3.296259672868794
2022-07-14,7216.0,3.273126434487576
2022-07-15,7000.0,3.175150366049478
2022-07-18,7320.0,3.3203000970688827
2022-07-19,7281.5,3.3028367700556105
2022-07-20,7371.0,3.3434333354501002
2022-07-21,7231.5,3.2801571245838286
2022-07-22,7372.0,3.3438869283595363
2022-07-25,7448.0,3.3783599894766447
2022-07-26,7591.5,3.443450571980659
2022-07-27,7552.0,3.4255336520579514
2022-07-28,7712.0,3.4981085175676534
2022-07-29,7800.5,3.5382514900527076
2022-08-01,7930.5,3.5972185682793407
2022-08-02,7819.0,3.546642958877267
2022-08-03,7774.0,3.5262312779526632
2022-08-04,7642.0,3.466357013907159
2022-08-05,7830.5,3.551859277335777
2022-08-08,7835.0,3.553900445428237
2022-08-09,7971.5,3.615815877566202
2022-08-10,7976.0,3.6178570456586625
2022-08-11,8140.0,3.6922462828061073
2022-08-12,8065.0,3.6582268145984345
2022-08-15,7865.5,3.567735029166024
2022-08-16,7992.0,3.6251145322096328
2022-08-17,7955.0,3.608331594560514
2022-08-18,8020.0,3.6378151336738305
2022-08-19,8051.0,3.6518765138663354
2022-08-22,8041.0,3.647340584771979
2022-08-23,8100.5,3.6743293628833995
2022-08-24,8031.5,3.6430314521323406
2022-08-25,8155.0,3.699050176447642
2022-08-26,8315.0,3.7716250419573445
2022-08-30,7910.5,3.588146710090628
2022-08-31,7721.0,3.502190853752574
2022-09-01,7702.0,3.493572588473297
2022-09-02,7587.0,3.4414094038881986
2022-09-05,7652.5,3.471119739456233
2022-09-06,7707.0,3.4958405530204755
2022-09-07,7730.0,3.5062731899374953
2022-09-08,7906.0,3.5861055419981676
2022-09-09,7985.0,3.621939381843583
2022-09-12,8026.0,3.6405366911304444
2022-09-13,8230.0,3.733069644655315
2022-09-14,7865.0,3.5675082327113063
2022-09-15,7806.0,3.5407462510546037
2022-09-16,7792.0,3.5343959503225046
2022-09-19,7772.0,3.525324092133792
2022-09-20,7796.0,3.5362103219602474
2022-09-21,7761.5,3.5205613665847175
2022-09-22,7815.0,3.5448285872395244
2022-09-23,7446.0,3.3774528036577736
2022-09-26,7449.0,3.3788135823860803
2022-09-27,7475.0,3.390606998031407
2022-09-28,7353.0,3.335268663080259
2022-09-29,7660.5,3.474748482731718
2022-09-30,7647.0,3.468624978454337
2022-10-03,7524.0,3.412833050593753
2022-10-04,7596.0,3.4454917400731193
2022-10-05,7661.0,3.474975279186436
2022-10-06,7744.0,3.512623490669594
2022-10-07,7575.5,3.436193085429689
2022-10-10,7655.0,3.472253721729822
2022-10-11,7587.0,3.4414094038881986
2022-10-12,7625.5,3.458872730901471
2022-10-13,7663.0,3.475882465005307
2022-10-14,7688.0,3.487222287741198
2022-10-17,7715.0,3.4994692962959606
2022-10-18,7536.0,3.418276165506981
2022-10-19,7420.0,3.3656593880124466
2022-10-20,7585.5,3.4407290145240452
2022-10-21,7545.0,3.422358501691902
2022-10-24,7661.0,3.474975279186436
2022-10-25,7536.0,3.418276165506981
2022-10-26,7762.5,3.5210149594941536
2022-10-27,7777.0,3.52759205668097
2022-10-28,7663.5,3.476109261460025
2022-10-31,7525.0,3.4132866435031888
2022-11-01,7745.0,3.5130770835790295
2022-11-02,7705.0,3.494933367201604
2022-11-03,7510.0,3.406482749861654
2022-11-04,7905.0,3.585651949088732
2022-11-07,7954.5,3.608104798105796
2022-11-08,7974.0,3.6169498598397913
2022-11-09,8035.0,3.644619027315365
2022-11-10,8065.0,3.6582268145984345
2022-11-11,8441.0,3.828777748546235
2022-11-14,8346.0,3.785686422149849
2022-11-15,8343.0,3.784325643421542
2022-11-16,8315.0,3.7716250419573445
2022-11-17,8155.0,3.699050176447642
2022-11-18,8047.0,3.650062142228593
2022-11-21,7900.5,3.583610780996272
2022-11-22,7996.0,3.626928903847375
2022-11-23,7962.0,3.6115067449265634
2022-11-24,7990.5,3.6244341428454794
2022-11-25,8070.0,3.6604947791456124
2022-11-28,7966.0,3.613321116564306
2022-11-29,8035.5,3.644845823770083
2022-11-30,8198.0,3.7185546715533744
2022-12-01,8216.5,3.7269461403779336
2022-12-02,8342.0,3.7838720505121066
2022-12-05,8440.0,3.8283241556367993
2022-12-06,8355.5,3.789995554789488
2022-12-07,8334.0,3.7802433072366215
2022-12-08,8537.0,3.8723226678520564
2022-12-09,8490.5,3.851230597563299
2022-12-12,8371.5,3.797253041340458
2022-12-13,8381.0,3.8015621739800967
2022-12-14,8415.0,3.8169843329009083
2022-12-15,8383.0,3.802469359798968
2022-12-16,8231.5,3.7337500340194683
2022-12-19,8331.0,3.7788825285083147
2022-12-20,8302.0,3.765728334134681
2022-12-21,8327.0,3.777068156870572
2022-12-22,8345.5,3.785459625695131
2022-12-23,8308.5,3.7686766880460127
2022-12-28,8451.0,3.833313677640591
2022-12-29,8395.0,3.8079124747121953
